,text,source
0,I am still waiting on my card?,BANKING77
1,What can I do if my card still hasn't arrived after 2 weeks?,BANKING77
2,I have been waiting over a week. Is the card still coming?,BANKING77
3,Can I track my card while it is in the process of delivery?,BANKING77
4,"How do I know if I will get my card, or if it is lost?",BANKING77
5,When did you send me my new card?,BANKING77
6,What do I do if I still have not received my new card?,BANKING77
7,Does the package with my card have tracking?,BANKING77
8,I ordered my card but it still isn't here,BANKING77
9,Why has my new card still not come?,BANKING77
10,Can you track my card for me?,BANKING77
11,Is there a way to track the delivery of my card?,BANKING77
12,It's been a week since I ordered my card and it's not here. Please help?,BANKING77
13,Will I be able to track the card that was sent to me?,BANKING77
14,How do I know when my new card is going to arrive?,BANKING77
15,My new card has not been delivered to my home yet. What is going on?,BANKING77
16,It's been a week since you issued me a card and I still didn't get it. Should I keep waiting?,BANKING77
17,"On the card that is coming, what's the tracking info?",BANKING77
18,What is the status of my card's delivery?,BANKING77
19,Have you sent out my card yet?,BANKING77
20,My card isn't here yet.,BANKING77
21,where is my new card?,BANKING77
22,It's been a week since you sent my card and I still don't have it.,BANKING77
23,How do I track the card you sent me?,BANKING77
24,When will I recieve my new card?,BANKING77
25,When will I get my new card?,BANKING77
26,What is the expected delivery date for my card?,BANKING77
27,I would like to track the card you sent to me.,BANKING77
28,Has my card been lost in delivery?,BANKING77
29,My new card hasn't came in.,BANKING77
30,Can I get an update on my replacement card?,BANKING77
31,How long does it take for a new card to ship?,BANKING77
32,I haven't received my card and am worried it is lost.,BANKING77
33,My card still hasn't been delivered,BANKING77
34,I need to find out where the card is that I ordered.,BANKING77
35,Where is my credit card that was to be mailed?,BANKING77
36,I ordered my card but it hasn't been delivered yet,BANKING77
37,Am I able to track the card that was just sent to me?,BANKING77
38,Can you tell me why I haven't received my new card?,BANKING77
39,I'm still waiting for my new card.,BANKING77
40,Is my card lost? I am still waiting for it to be delivered.,BANKING77
41,Should I keep waiting for my card to be delivered?,BANKING77
42,How can I check on the status of my new card?,BANKING77
43,"A card has been sent to me, how do I track it?",BANKING77
44,Is there a way I can get my card expedited?,BANKING77
45,What can I do to track the card you sent me?,BANKING77
46,why hasnt my card come in yet?,BANKING77
47,How can I periodically check the delivery of the card you sent?,BANKING77
48,What's the reason my new card hasn't come?,BANKING77
49,How long does it take for me to get my new card?,BANKING77
50,I know I'm getting a new card but would like know when I can expect to receive it.,BANKING77
51,I want to find out what happened to my new card?,BANKING77
52,Was there a way for me to get tracking for that?,BANKING77
53,I am still waiting for my card.,BANKING77
54,My card hasn't arrived.,BANKING77
55,Can I track the card you sent to me?,BANKING77
56,I haven't gotten my new card.,BANKING77
57,How long should it take for my new card to arrive in them mail? What should I do if I never receive it?,BANKING77
58,Will I have to wait much longer for my new card to arrive?,BANKING77
59,how to track the card you sent,BANKING77
60,2 weeks ago I ordered my new card.  It isn't here.  What should I do?,BANKING77
61,How can I check on the delivery status of my card?,BANKING77
62,"My card has not been delivered yet and its been a week since I ordered it, please help",BANKING77
63,What's the expected wait time to recieve my new card?,BANKING77
64,How can I see the progress of delivery of the card that was sent?,BANKING77
65,"My card was supposed to arrive, but hasn't?",BANKING77
66,How long will it take for me to get my card?,BANKING77
67,My card hasn't shown up yet.,BANKING77
68,Does the card you sent have a tracking number?,BANKING77
69,My card hasn't arrived in the mail yet. I ordered it two weeks ago. What can I do?,BANKING77
70,maximum how many days get the courier?,BANKING77
71,Is there a reason my new card hasn't arrived yet?,BANKING77
72,"I've been waiting a while for my card, is there a way to know when it will arrive?",BANKING77
73,How can I track my card's delivery?,BANKING77
74,Can I track the card that was just sent to me?,BANKING77
75,"If I ordered my new card last week, how much longer should I wait to receive it?",BANKING77
76,"What's go on, where is my new card?",BANKING77
77,Where is my new card if I haven't received it yet?,BANKING77
78,Where is my card?,BANKING77
79,Can you tell me why I haven't received my new card yet?,BANKING77
80,Is there a way to track my card?,BANKING77
81,I'm still waiting for my card.,BANKING77
82,What do I need to do to get my new card which I have requested 2 weeks ago?,BANKING77
83,WHAT IS THE SOLUTION OF THIS PROBLEM,BANKING77
84,Could I get tracking on the card?,BANKING77
85,Can you help me track my card?,BANKING77
86,Shouldn't my new card be here by now?,BANKING77
87,Is there a reason my new card hasn't arrived?,BANKING77
88,Is there a tracking number for the card?,BANKING77
89,can you share card tracking number?,BANKING77
90,"I have not received my card and it's been a week, what do I do?",BANKING77
91,When will my new card arrive?,BANKING77
92,Why haven't I received my new card yet?,BANKING77
93,What is the expected delivery date of my card?,BANKING77
94,My card hasn't came in the mail yet?,BANKING77
95,I haven't received my card.,BANKING77
96,When will my new card be delivered?,BANKING77
97,I was issued a card about a week ago. why hasn't it come in yet?,BANKING77
98,Can you please tell me where my card is? I ordered it 2 weeks ago!,BANKING77
99,I still haven't received my card in the mail,BANKING77
100,I'm still waiting for my card that was issued a week ago. What should I do?,BANKING77
101,I still haven't gotten my new card.  When will it get here?,BANKING77
102,Do you have a tracking number for the card I was sent?,BANKING77
103,How do I track the card you sent to me?,BANKING77
104,Is my new bank card on the way and is there a way to track it?,BANKING77
105,Could you send me and up date on the arrival of my card?,BANKING77
106,How long does it take to recieve my new card?,BANKING77
107,My card has not come in the mail yet.,BANKING77
108,What's the card you sent me's tracking number?,BANKING77
109,i havent got my card,BANKING77
110,Why hasn't my card arrived yet?,BANKING77
111,I thought I would have received my new card at this point.,BANKING77
112,How long until my new card gets here?,BANKING77
113,How much longer until I get my new card?,BANKING77
114,Am I able to track a card that has already been sent?,BANKING77
115,Is it possible to track the card you sent me?,BANKING77
116,How long will it be to get this new card?,BANKING77
117,Can the card was sen to me be tracked?,BANKING77
118,why have i not got my new card?,BANKING77
119,I need to track the card sent to me.,BANKING77
120,"It's been two weeks and I haven't gotten my card, what do I do?",BANKING77
121,Where is the tracking number for the card?,BANKING77
122,I was issued a new card a week ago but still haven't received it. How long will it be until I receive it?,BANKING77
123,Can I track the card that you sent me in the mail?,BANKING77
124,Can you tell me if I can track the card you sent me?,BANKING77
125,Why have I not gotten my new card?,BANKING77
126,I'm still waiting on my new card to be delivered!,BANKING77
127,Is a tracking number available for the card that was just sent?,BANKING77
128,Why haven't I gotten my new card?,BANKING77
129,I haven't gotten my credit card in the mail.,BANKING77
130,My card hasn't arrived yet. What do I do?,BANKING77
131,My card never arrived.,BANKING77
132,My card has been found. Is there any way for me to put it back into the app?,BANKING77
133,I was able to find my card. How to I go about putting it into my app?,BANKING77
134,how do I get my card to show in the app?,BANKING77
135,I just got my card.  It's not linked yet--how do I do that?,BANKING77
136,"lost card found, want to put it back in app",BANKING77
137,"I just got a card, how can I add it to the app?",BANKING77
138,Is there any way to see my card in the app?,BANKING77
139,If I find a card I lost do I need to dispose of it? Or can I re-active the card and continue to use it?,BANKING77
140,I found my card. How can I put it into my app?,BANKING77
141,How do I make my card show up in the app?,BANKING77
142,Can you show me where to link the new card?,BANKING77
143,I found my old card. Can I link it back into the app?,BANKING77
144,"Show me how to link the new card,",BANKING77
145,How do I add an existing card to the app?,BANKING77
146,I finally got my card.  Now I want to link it.  Is that something you have to do or can I do that?,BANKING77
147,How do I link one of your card that I already have?,BANKING77
148,If I have a physical card can I link it?,BANKING77
149,I found my lost card in my jacket pocket this morning so I'd like to reactivate it please.,BANKING77
150,Can I add a card that I just found (again) to the app?,BANKING77
151,How can I make my card show up in the app?,BANKING77
152,"I would like to re-activate my card, it was previously reported  lost but I found it this morning.",BANKING77
153,"Okay, I found my card, can I put it back in the app?",BANKING77
154,Can I reactivate a card?,BANKING77
155,"I got my card now, how do I make it show up in the app?",BANKING77
156,How do I link an existing card?,BANKING77
157,How do I link a new card in the app?,BANKING77
158,"The card I thought was lost was just in my jacket, so can I reactivate it since I found it this morning?",BANKING77
159,I already have a card and want to link it,BANKING77
160,Can you please reactivate my card?,BANKING77
161,Where do I go to add a new card?,BANKING77
162,I want my card I just received to show up in the app. How do I do that?,BANKING77
163,"I received my card, how do I get it to show in the app?",BANKING77
164,If I have a credit card with you how I get set up to link to it?,BANKING77
165,How do I add my new card?,BANKING77
166,"I want to reactivate my card, I thought I had lost it but found it again this morning.",BANKING77
167,"I need a card reactivation, I had reported my card lost but I ran across it in my jacket.",BANKING77
168,"I want to reactivate my card, I thought I had lost it but found it again in my jacket.",BANKING77
169,"May I reactivate my card? I previously reported it lost, but have now found it safe and sound.",BANKING77
170,How do I reactivate a card I thought I lost?,BANKING77
171,I found my lost card. Am I still able to use it?,BANKING77
172,Will I need a new card or can I put my old card back into the app?,BANKING77
173,Is there a way to link the card i just got?,BANKING77
174,How do I add a new card?,BANKING77
175,"I want to reactivate my card, I found it after thinking it was lost.",BANKING77
176,Can I put my old card back in the app?,BANKING77
177,"I got a new card, how do I link it?",BANKING77
178,I found the card I thought I lost this morning. Can I reactivate this card?,BANKING77
179,How do i go about linking a new card?,BANKING77
180,how do i get the card linked,BANKING77
181,"I have one of your cards, but I don't know how to link it.",BANKING77
182,how do I link an old card?,BANKING77
183,I received my card. How do I link it to the app?,BANKING77
184,How do I add the card I just received to show up in the app?,BANKING77
