,sentence1,sentence2,label,hypothesis_graph_structure
0,Pluto rotates once on its axis every 6.39 Earth days;,Earth rotates on its axis once times in one day.,0,Earth<>rotates on<>its axis once times$$$Earth<>rotates on its axis once times in<>one day$$$its axis once times<>in<>one day
1,"---Glenn ========================================================= Once per day, the earth rotates about its axis.",Earth rotates on its axis once times in one day.,1,Earth<>rotates on<>its axis once times$$$Earth<>rotates on its axis once times in<>one day$$$its axis once times<>in<>one day
2,geysers - periodic gush of hot water at the surface of the Earth.,The surface of the sun is much hotter than almost anything on earth.,0,The surface of the sun<>is<>much hotter than almost anything on earth
3,Facts: Liquid water droplets can be changed into invisible water vapor through a process called evaporation .,Evaporation is responsible for changing liquid water into water vapor.,1,Evaporation<>is<>responsible for changing liquid water into water vapor
4,"By comparison, the earth rotates on its axis once per day and revolves around the sun once per year.",Earth rotates on its axis once times in one day.,1,Earth<>rotates on<>its axis once times$$$Earth<>rotates on its axis once times in<>one day$$$its axis once times<>in<>one day
5,"Pluto is about 39 times more distant from the Sun than is the Earth, and it takes about 250 Earth years for Pluto to make one complete revolution around the Sun.",Earth makes a complete revolution around the sun about once every year.,0,Earth<>makes about once<>a complete revolution around the sun
6,It takes Pluto 247.7 Earth years to make one revolution around the Sun.,Earth makes a complete revolution around the sun about once every year.,0,Earth<>makes about once<>a complete revolution around the sun
7,"Multicellular organisms that have a eukaryotic cell type, mitochondria and a complex nervous system.",Single-celled organisms and multicellular organisms have this in common: both have a way to get rid of waste materials.,0,both<>have<>a way to get rid of waste materials$$$Single-celled organisms and multicellular organisms<>have<>this
8,"Distribution Water on earth is located primarily in the oceans (97.2%), polar caps (2.14%), ground water(0.61%), and surface water(0.009%).",Most of earth's water is located in oceans,1,Most of earth's water<>is located<>in oceans
9,"migratory birds which fly from South America to winter in Arctic Circle, where they",Many species of birds in new england fly south for the winter months to find an environment with more food.,0,the winter months<>to find<>an environment with more food
10,"Younger children learn about different forms of energy, including heat, light and sound, though concrete activities.","Heat, light, and sound are all different forms of energy.",1,"Heat, light, and sound<>are<>different forms of energy$$$Heat<>[is]<>light"
11,"When enough condensation forms, it will rain and water the plants.",Dew forming on plants during a cold night is an example of water condensing.,0,Dew forming on plants during a cold night<>is<>an example of water condensing
12,The photosynthesis of the past is what had stored the Sun's energy that ultimately produced coal;,"Coal is nonrenewable, and the sun is renewable is how coal and the sun compare as sources of energy.",0,the sun<>is<>renewable
13,"Around the liquid stor- age and liquid recovery systems, rain water runoff would be controlled by collection into a sump system.",Rain is an example of liquid water.,0,Rain<>is<>an example of liquid water
14,"In this last example, it isn't even loudness or sound at all that needs to be made.",The sound in a loud classroom is an example of a form of energy.,0,The sound in a loud classroom<>is<>an example of a form of energy
15,"When these winds are strong, they deflect moister air moving up from the Gulf coast and cold air masses moving down from the Arctic;",The best explanation for how air masses move across the united states is that the prevailing westerlies move air masses from west to east across the united states but may be deflected by the jet stream.,0,air masses<>move<>across the united states$$$the prevailing westerlies<>may be deflected<>by the jet stream$$$The best explanation for how air masses move across the united states<>is<>that the prevailing westerlies move air masses from west to east across the united states but may be deflected by the jet stream$$$the prevailing westerlies<>move<>air masses<>from west<>to east<>across the united states
16,Evaporation : The process that changes water (liquid) into water vapor (gas).,Evaporation is responsible for changing liquid water into water vapor.,1,Evaporation<>is<>responsible for changing liquid water into water vapor
17,A long-day plant (a plant that flowers in the early summer in response to increasing day length) will be used to isolate the appropriate promoters.,A(n) increase in length happens to metal railroad tracks during the heat of a summer day.,0,A(n) increase in length<>happens<>to metal railroad tracks<>during the heat of a summer day
18,Why do we find few or no human fossils in most sedimentary rock?,Most fossils are found in sedimentary rocks because organisms can be preserved in sedimentary rock.,0,Most fossils<>are found<>in sedimentary rocks<>because organisms can be preserved in sedimentary rock$$$organisms<>can be preserved<>in sedimentary rock
