phrase1,phrase2,sentence1,sentence2,label,idx
carry,carry,you must carry your camping gear .,sound carries well over water .,0,0
go,go,messages must go through diplomatic channels .,do you think the sofa will go through the door ?,0,1
break,break,break an alibi .,the wholesaler broke the container loads into palettes and boxes for local retailers .,0,2
cup,cup,he wore a jock strap with a metal cup .,bees filled the waxen cups with honey .,1,3
academy,academy,the academy of music .,the french academy .,0,4
set,set,set the table .,to set glass in a sash .,0,5
starch,starch,starch clothes .,she starched her blouses .,1,6
take,take,do you take sugar in your coffee ?,a reading was taken of the earth 's tremors .,0,7
avoid,avoid,i try to avoid the company of gamblers .,we avoided the ball .,1,8
clearance,clearance,"he got clearance to travel to america , even though he had previous links to terrorists .","the plane got clearance from air traffic control , and we were off .",1,9
come,come,come out of the closet !,he came singing down the road .,1,10
coverage,coverage,"before laying sod on that clay , the ground needs two inches of coverage with topsoil .",the dictionary 's coverage of standard english is excellent .,1,11
death,death,her death came as a terrible shock .,he had two deaths on his conscience .,0,12
despite,despite,the despite in which outsiders were held is legendary .,she wanted neither favor nor despite .,0,13
school,school,a school of small glittering fish swam by .,the divers encountered a huge school of mackerel .,1,14
go,go,we should go farther in this matter .,she went through a lot of trouble .,1,15
action,action,the united nations must have the power to propose and organize action without being hobbled by irrelevant issues .,recent federal action undermined the segregationist position .,1,16
fall,fall,fall by the wayside .,the cities fell to the enemy .,0,17
work,work,this dough does not work easily .,work the phones .,0,18
shock,shock,the armies met in the shock of battle .,the train hit the buffers with a great shock .,0,19
play,play,this speech did n't play well with the american public .,play football .,0,20
make,make,what do you make of his remarks ?,make a dress .,0,21
end,end,the so-called glorious experiment came to an inglorious end .,the end was exciting .,0,22
break,break,there was a break in the action when a player was hurt .,he was up two breaks in the second set .,0,23
life,life,it was a heavy play and the actors tried in vain to give life to it .,the life of this milk carton may be thousands of years in this landfill .,0,24
person,person,there was too much for one person to do .,"each person is unique , both mentally and physically .",1,25
answer,answer,answer the door .,she answered the door .,1,26
do,do,all you ever do is surf the internet .,a ' b ' grade does n't suffice to get me into medical school .,0,27
play,play,play fair .,play football .,0,28
